frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
0,23953550.977,06:39:13.551,30.000,640,480,1
1,23953583.000,06:39:13.583,30.000,640,480,1
2,23953614.932,06:39:13.615,30.000,640,480,1
3,23953646.939,06:39:13.647,30.000,640,480,1
4,23953678.939,06:39:13.679,30.000,640,480,1
5,23953714.959,06:39:13.715,30.000,640,480,1
6,23953746.977,06:39:13.747,30.000,640,480,1
7,23953778.906,06:39:13.779,30.000,640,480,1
8,23953810.908,06:39:13.811,30.000,640,480,1
9,23953842.928,06:39:13.843,30.000,640,480,1
10,23953878.949,06:39:13.879,30.000,640,480,1
11,23953910.951,06:39:13.911,30.000,640,480,1
12,23953942.901,06:39:13.943,30.000,640,480,1
13,23953974.907,06:39:13.975,30.000,640,480,1
14,23954006.908,06:39:14.007,30.000,640,480,1
15,23954043.056,06:39:14.043,30.000,640,480,1
16,23954074.986,06:39:14.075,30.000,640,480,1
17,23954106.929,06:39:14.107,30.000,640,480,1
18,23954138.909,06:39:14.139,30.000,640,480,1
19,23954174.956,06:39:14.175,30.000,640,480,1
20,23954206.960,06:39:14.207,30.000,640,480,1
21,23954238.970,06:39:14.239,30.000,640,480,1
22,23954270.901,06:39:14.271,30.000,640,480,1
23,23954302.986,06:39:14.303,30.000,640,480,1
24,23954338.997,06:39:14.339,30.000,640,480,1
25,23954370.942,06:39:14.371,30.000,640,480,1
26,23954403.015,06:39:14.403,30.000,640,480,1
27,23954434.901,06:39:14.435,30.000,640,480,1
28,23954466.904,06:39:14.467,30.000,640,480,1
29,23954503.020,06:39:14.503,30.000,640,480,1
30,23954534.987,06:39:14.535,30.000,640,480,1
31,23954566.940,06:39:14.567,30.000,640,480,1
32,23954598.916,06:39:14.599,30.000,640,480,1
33,23954630.945,06:39:14.631,30.000,640,480,1
34,23954666.957,06:39:14.667,30.000,640,480,1
35,23954698.944,06:39:14.699,30.000,640,480,1
36,23954730.951,06:39:14.731,30.000,640,480,1
37,23954762.951,06:39:14.763,30.000,640,480,1
38,23954794.968,06:39:14.795,30.000,640,480,1
39,23954830.952,06:39:14.831,30.000,640,480,1
40,23954863.036,06:39:14.863,30.000,640,480,1
41,23954894.966,06:39:14.895,30.000,640,480,1
42,23954926.929,06:39:14.927,30.000,640,480,1
43,23954958.906,06:39:14.959,30.000,640,480,1
44,23954994.968,06:39:14.995,30.000,640,480,1
45,23955026.949,06:39:15.027,30.000,640,480,1
46,23955058.910,06:39:15.059,30.000,640,480,1
47,23955090.992,06:39:15.091,30.000,640,480,1
48,23955122.923,06:39:15.123,30.000,640,480,1
49,23955158.933,06:39:15.159,30.000,640,480,1
50,23955190.945,06:39:15.191,30.000,640,480,1
51,23955222.955,06:39:15.223,30.000,640,480,1
52,23955254.943,06:39:15.255,30.000,640,480,1
53,23955286.976,06:39:15.287,30.000,640,480,1
54,23955323.007,06:39:15.323,30.000,640,480,1
55,23955355.032,06:39:15.355,30.000,640,480,1
56,23955386.926,06:39:15.387,30.000,640,480,1
57,23955418.974,06:39:15.419,30.000,640,480,1
