frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
0,24328073.265,06:45:28.073,30.000,640,480,1
1,24328105.333,06:45:28.105,30.000,640,480,1
2,24328137.244,06:45:28.137,30.000,640,480,1
3,24328169.181,06:45:28.169,30.000,640,480,1
4,24328201.185,06:45:28.201,30.000,640,480,1
5,24328301.251,06:45:28.301,30.000,640,480,1
6,24328333.212,06:45:28.333,30.000,640,480,1
7,24328365.232,06:45:28.365,30.000,640,480,1
8,24328401.266,06:45:28.401,30.000,640,480,1
9,24328433.278,06:45:28.433,30.000,640,480,1
10,24328465.258,06:45:28.465,30.000,640,480,1
11,24328497.210,06:45:28.497,30.000,640,480,1
12,24328529.218,06:45:28.529,30.000,640,480,1
13,24328565.285,06:45:28.565,30.000,640,480,1
14,24328597.239,06:45:28.597,30.000,640,480,1
15,24328629.221,06:45:28.629,30.000,640,480,1
16,24328661.215,06:45:28.661,30.000,640,480,1
17,24328693.204,06:45:28.693,30.000,640,480,1
18,24328729.222,06:45:28.729,30.000,640,480,1
19,24328761.229,06:45:28.761,30.000,640,480,1
20,24328793.181,06:45:28.793,30.000,640,480,1
21,24328825.184,06:45:28.825,30.000,640,480,1
22,24328857.182,06:45:28.857,30.000,640,480,1
23,24328893.235,06:45:28.893,30.000,640,480,1
24,24328925.220,06:45:28.925,30.000,640,480,1
25,24328957.188,06:45:28.957,30.000,640,480,1
26,24328989.179,06:45:28.989,30.000,640,480,1
27,24329025.222,06:45:29.025,30.000,640,480,1
28,24329057.212,06:45:29.057,30.000,640,480,1
29,24329089.257,06:45:29.089,30.000,640,480,1
30,24329121.208,06:45:29.121,30.000,640,480,1
31,24329153.240,06:45:29.153,30.000,640,480,1
32,24329189.248,06:45:29.189,30.000,640,480,1
33,24329221.264,06:45:29.221,30.000,640,480,1
34,24329253.258,06:45:29.253,30.000,640,480,1
35,24329285.204,06:45:29.285,30.000,640,480,1
36,24329317.248,06:45:29.317,30.000,640,480,1
37,24329353.215,06:45:29.353,30.000,640,480,1
38,24329385.225,06:45:29.385,30.000,640,480,1
39,24329417.243,06:45:29.417,30.000,640,480,1
40,24329449.196,06:45:29.449,30.000,640,480,1
41,24329481.171,06:45:29.481,30.000,640,480,1
42,24329517.261,06:45:29.517,30.000,640,480,1
43,24329549.241,06:45:29.549,30.000,640,480,1
44,24329581.219,06:45:29.581,30.000,640,480,1
45,24329613.192,06:45:29.613,30.000,640,480,1
46,24329645.187,06:45:29.645,30.000,640,480,1
47,24329681.218,06:45:29.681,30.000,640,480,1
48,24329713.229,06:45:29.713,30.000,640,480,1
49,24329745.173,06:45:29.745,30.000,640,480,1
50,24329777.174,06:45:29.777,30.000,640,480,1
51,24329809.173,06:45:29.809,30.000,640,480,1
52,24329845.232,06:45:29.845,30.000,640,480,1
53,24329877.202,06:45:29.877,30.000,640,480,1
54,24329909.164,06:45:29.909,30.000,640,480,1
55,24329941.173,06:45:29.941,30.000,640,480,1
56,24329973.184,06:45:29.973,30.000,640,480,1
57,24330009.248,06:45:30.009,30.000,640,480,1
58,24330041.206,06:45:30.041,30.000,640,480,1
59,24330073.166,06:45:30.073,30.000,640,480,1
60,24330105.179,06:45:30.105,30.000,640,480,1
61,24330137.170,06:45:30.137,30.000,640,480,1
62,24330173.222,06:45:30.173,30.000,640,480,1
63,24330205.221,06:45:30.205,30.000,640,480,1
64,24330237.164,06:45:30.237,30.000,640,480,1
65,24330269.165,06:45:30.269,30.000,640,480,1
66,24330301.167,06:45:30.301,30.000,640,480,1
67,24330337.234,06:45:30.337,30.000,640,480,1
68,24330369.206,06:45:30.369,30.000,640,480,1
69,24330401.195,06:45:30.401,30.000,640,480,1
70,24330433.207,06:45:30.433,30.000,640,480,1
71,24330469.229,06:45:30.469,30.000,640,480,1
72,24330501.231,06:45:30.501,30.000,640,480,1
73,24330533.232,06:45:30.533,30.000,640,480,1
74,24330565.191,06:45:30.565,30.000,640,480,1
75,24330597.163,06:45:30.597,30.000,640,480,1
76,24330633.235,06:45:30.633,30.000,640,480,1
77,24330665.230,06:45:30.665,30.000,640,480,1
78,24330697.202,06:45:30.697,30.000,640,480,1
79,24330729.189,06:45:30.729,30.000,640,480,1
80,24330761.169,06:45:30.761,30.000,640,480,1
81,24330797.216,06:45:30.797,30.000,640,480,1
82,24330829.190,06:45:30.829,30.000,640,480,1
83,24330861.240,06:45:30.861,30.000,640,480,1
84,24330893.186,06:45:30.893,30.000,640,480,1
85,24330925.165,06:45:30.925,30.000,640,480,1
86,24330961.225,06:45:30.961,30.000,640,480,1
87,24330993.253,06:45:30.993,30.000,640,480,1
88,24331025.192,06:45:31.025,30.000,640,480,1
89,24331057.157,06:45:31.057,30.000,640,480,1
90,24331089.202,06:45:31.089,30.000,640,480,1
91,24331125.223,06:45:31.125,30.000,640,480,1
92,24331157.237,06:45:31.157,30.000,640,480,1
93,24331189.156,06:45:31.189,30.000,640,480,1
94,24331221.239,06:45:31.221,30.000,640,480,1
95,24331253.161,06:45:31.253,30.000,640,480,1
96,24331289.197,06:45:31.289,30.000,640,480,1
97,24331321.209,06:45:31.321,30.000,640,480,1
98,24331353.157,06:45:31.353,30.000,640,480,1
99,24331385.155,06:45:31.385,30.000,640,480,1
100,24331417.164,06:45:31.417,30.000,640,480,1
101,24331453.209,06:45:31.453,30.000,640,480,1
102,24331485.238,06:45:31.485,30.000,640,480,1
103,24331517.157,06:45:31.517,30.000,640,480,1
104,24331549.211,06:45:31.549,30.000,640,480,1
105,24331581.179,06:45:31.581,30.000,640,480,1
106,24331617.239,06:45:31.617,30.000,640,480,1
107,24331649.227,06:45:31.649,30.000,640,480,1
108,24331681.186,06:45:31.681,30.000,640,480,1
109,24331713.163,06:45:31.713,30.000,640,480,1
110,24331749.227,06:45:31.749,30.000,640,480,1
111,24331781.252,06:45:31.781,30.000,640,480,1
112,24331813.321,06:45:31.813,30.000,640,480,1
113,24331845.211,06:45:31.845,30.000,640,480,1
114,24331877.154,06:45:31.877,30.000,640,480,1
115,24331913.199,06:45:31.913,30.000,640,480,1
116,24331945.189,06:45:31.945,30.000,640,480,1
117,24331977.195,06:45:31.977,30.000,640,480,1
118,24332009.145,06:45:32.009,30.000,640,480,1
119,24332041.153,06:45:32.041,30.000,640,480,1
120,24332077.184,06:45:32.077,30.000,640,480,1
121,24332109.229,06:45:32.109,30.000,640,480,1
122,24332141.214,06:45:32.141,30.000,640,480,1
123,24332173.148,06:45:32.173,30.000,640,480,1
124,24332205.153,06:45:32.205,30.000,640,480,1
125,24332241.214,06:45:32.241,30.000,640,480,1
126,24332273.209,06:45:32.273,30.000,640,480,1
127,24332305.287,06:45:32.305,30.000,640,480,1
128,24332337.144,06:45:32.337,30.000,640,480,1
129,24332369.148,06:45:32.369,30.000,640,480,1
130,24332405.178,06:45:32.405,30.000,640,480,1
131,24332437.198,06:45:32.437,30.000,640,480,1
132,24332469.170,06:45:32.469,30.000,640,480,1
133,24332501.183,06:45:32.501,30.000,640,480,1
134,24332533.179,06:45:32.533,30.000,640,480,1
135,24332569.228,06:45:32.569,30.000,640,480,1
136,24332601.186,06:45:32.601,30.000,640,480,1
137,24332633.169,06:45:32.633,30.000,640,480,1
138,24332665.172,06:45:32.665,30.000,640,480,1
139,24332697.187,06:45:32.697,30.000,640,480,1
140,24332733.207,06:45:32.733,30.000,640,480,1
141,24332765.200,06:45:32.765,30.000,640,480,1
142,24332797.144,06:45:32.797,30.000,640,480,1
143,24332829.144,06:45:32.829,30.000,640,480,1
144,24332861.152,06:45:32.861,30.000,640,480,1
145,24332897.226,06:45:32.897,30.000,640,480,1
146,24332929.234,06:45:32.929,30.000,640,480,1
147,24332961.172,06:45:32.961,30.000,640,480,1
148,24332993.151,06:45:32.993,30.000,640,480,1
149,24333025.181,06:45:33.025,30.000,640,480,1
150,24333061.222,06:45:33.061,30.000,640,480,1
151,24333093.205,06:45:33.093,30.000,640,480,1
152,24333125.184,06:45:33.125,30.000,640,480,1
153,24333157.140,06:45:33.157,30.000,640,480,1
154,24333193.209,06:45:33.193,30.000,640,480,1
155,24333225.208,06:45:33.225,30.000,640,480,1
156,24333257.207,06:45:33.257,30.000,640,480,1
157,24333289.166,06:45:33.289,30.000,640,480,1
158,24333321.166,06:45:33.321,30.000,640,480,1
159,24333357.206,06:45:33.357,30.000,640,480,1
160,24333389.221,06:45:33.389,30.000,640,480,1
161,24333421.216,06:45:33.421,30.000,640,480,1
162,24333453.162,06:45:33.453,30.000,640,480,1
163,24333485.136,06:45:33.485,30.000,640,480,1
164,24333521.195,06:45:33.521,30.000,640,480,1
165,24333553.196,06:45:33.553,30.000,640,480,1
166,24333585.216,06:45:33.585,30.000,640,480,1
167,24333617.132,06:45:33.617,30.000,640,480,1
168,24333649.171,06:45:33.649,30.000,640,480,1
169,24333685.197,06:45:33.685,30.000,640,480,1
170,24333717.200,06:45:33.717,30.000,640,480,1
171,24333749.202,06:45:33.749,30.000,640,480,1
172,24333781.164,06:45:33.781,30.000,640,480,1
173,24333813.134,06:45:33.813,30.000,640,480,1
174,24333849.217,06:45:33.849,30.000,640,480,1
175,24333881.189,06:45:33.881,30.000,640,480,1
176,24333913.159,06:45:33.913,30.000,640,480,1
177,24333945.147,06:45:33.945,30.000,640,480,1
178,24333977.167,06:45:33.977,30.000,640,480,1
179,24334013.210,06:45:34.013,30.000,640,480,1
180,24334045.199,06:45:34.045,30.000,640,480,1
181,24334077.129,06:45:34.077,30.000,640,480,1
182,24334109.168,06:45:34.109,30.000,640,480,1
183,24334141.137,06:45:34.141,30.000,640,480,1
184,24334177.198,06:45:34.177,30.000,640,480,1
185,24334209.193,06:45:34.209,30.000,640,480,1
186,24334241.162,06:45:34.241,30.000,640,480,1
187,24334273.169,06:45:34.273,30.000,640,480,1
188,24334305.162,06:45:34.305,30.000,640,480,1
189,24334341.193,06:45:34.341,30.000,640,480,1
190,24334373.164,06:45:34.373,30.000,640,480,1
191,24334405.145,06:45:34.405,30.000,640,480,1
192,24334437.153,06:45:34.437,30.000,640,480,1
193,24334473.183,06:45:34.473,30.000,640,480,1
194,24334505.200,06:45:34.505,30.000,640,480,1
195,24334537.172,06:45:34.537,30.000,640,480,1
196,24334569.139,06:45:34.569,30.000,640,480,1
197,24334601.155,06:45:34.601,30.000,640,480,1
198,24334637.197,06:45:34.637,30.000,640,480,1
199,24334669.209,06:45:34.669,30.000,640,480,1
200,24334701.191,06:45:34.701,30.000,640,480,1
201,24334733.138,06:45:34.733,30.000,640,480,1
202,24334765.183,06:45:34.765,30.000,640,480,1
203,24334801.173,06:45:34.801,30.000,640,480,1
204,24334833.172,06:45:34.833,30.000,640,480,1
205,24334865.178,06:45:34.865,30.000,640,480,1
206,24334897.126,06:45:34.897,30.000,640,480,1
207,24334929.123,06:45:34.929,30.000,640,480,1
208,24334965.162,06:45:34.965,30.000,640,480,1
209,24334997.155,06:45:34.997,30.000,640,480,1
210,24335029.214,06:45:35.029,30.000,640,480,1
211,24335061.134,06:45:35.061,30.000,640,480,1
212,24335093.139,06:45:35.093,30.000,640,480,1
213,24335129.156,06:45:35.129,30.000,640,480,1
214,24335161.201,06:45:35.161,30.000,640,480,1
215,24335193.152,06:45:35.193,30.000,640,480,1
216,24335225.142,06:45:35.225,30.000,640,480,1
217,24335257.122,06:45:35.257,30.000,640,480,1
218,24335293.176,06:45:35.293,30.000,640,480,1
219,24335325.205,06:45:35.325,30.000,640,480,1
220,24335357.144,06:45:35.357,30.000,640,480,1
221,24335389.123,06:45:35.389,30.000,640,480,1
222,24335421.118,06:45:35.421,30.000,640,480,1
223,24335457.247,06:45:35.457,30.000,640,480,1
224,24335489.251,06:45:35.489,30.000,640,480,1
225,24335521.175,06:45:35.521,30.000,640,480,1
226,24335553.179,06:45:35.553,30.000,640,480,1
227,24335585.174,06:45:35.585,30.000,640,480,1
228,24335621.192,06:45:35.621,30.000,640,480,1
229,24335653.187,06:45:35.653,30.000,640,480,1
230,24335685.121,06:45:35.685,30.000,640,480,1
231,24335717.152,06:45:35.717,30.000,640,480,1
232,24335753.198,06:45:35.753,30.000,640,480,1
233,24335785.198,06:45:35.785,30.000,640,480,1
234,24335817.176,06:45:35.817,30.000,640,480,1
235,24335849.160,06:45:35.849,30.000,640,480,1
236,24335881.147,06:45:35.881,30.000,640,480,1
237,24335917.180,06:45:35.917,30.000,640,480,1
238,24335949.179,06:45:35.949,30.000,640,480,1
239,24335981.172,06:45:35.981,30.000,640,480,1
240,24336013.173,06:45:36.013,30.000,640,480,1
241,24336045.156,06:45:36.045,30.000,640,480,1
242,24336081.206,06:45:36.081,30.000,640,480,1
243,24336113.172,06:45:36.113,30.000,640,480,1
244,24336145.193,06:45:36.145,30.000,640,480,1
245,24336177.117,06:45:36.177,30.000,640,480,1
246,24336209.114,06:45:36.209,30.000,640,480,1
247,24336245.163,06:45:36.245,30.000,640,480,1
248,24336277.180,06:45:36.277,30.000,640,480,1
249,24336309.144,06:45:36.309,30.000,640,480,1
250,24336341.145,06:45:36.341,30.000,640,480,1
251,24336373.110,06:45:36.373,30.000,640,480,1
252,24336409.167,06:45:36.409,30.000,640,480,1
253,24336441.142,06:45:36.441,30.000,640,480,1
254,24336473.146,06:45:36.473,30.000,640,480,1
255,24336505.129,06:45:36.505,30.000,640,480,1
256,24336537.134,06:45:36.537,30.000,640,480,1
257,24336573.228,06:45:36.573,30.000,640,480,1
258,24336605.192,06:45:36.605,30.000,640,480,1
259,24336637.166,06:45:36.637,30.000,640,480,1
260,24336669.147,06:45:36.669,30.000,640,480,1
261,24336701.154,06:45:36.701,30.000,640,480,1
262,24336737.175,06:45:36.737,30.000,640,480,1
263,24336769.167,06:45:36.769,30.000,640,480,1
264,24336801.135,06:45:36.801,30.000,640,480,1
265,24336833.133,06:45:36.833,30.000,640,480,1
266,24336865.149,06:45:36.865,30.000,640,480,1
267,24336901.138,06:45:36.901,30.000,640,480,1
268,24336933.194,06:45:36.933,30.000,640,480,1
269,24336965.128,06:45:36.965,30.000,640,480,1
270,24336997.136,06:45:36.997,30.000,640,480,1
271,24337029.139,06:45:37.029,30.000,640,480,1
272,24337065.172,06:45:37.065,30.000,640,480,1
273,24337097.192,06:45:37.097,30.000,640,480,1
274,24337129.130,06:45:37.129,30.000,640,480,1
275,24337161.108,06:45:37.161,30.000,640,480,1
276,24337197.192,06:45:37.197,30.000,640,480,1
277,24337229.172,06:45:37.229,30.000,640,480,1
278,24337261.143,06:45:37.261,30.000,640,480,1
279,24337293.134,06:45:37.293,30.000,640,480,1
280,24337325.123,06:45:37.325,30.000,640,480,1
281,24337361.171,06:45:37.361,30.000,640,480,1
282,24337393.141,06:45:37.393,30.000,640,480,1
283,24337425.152,06:45:37.425,30.000,640,480,1
284,24337457.097,06:45:37.457,30.000,640,480,1
285,24337489.100,06:45:37.489,30.000,640,480,1
286,24337525.130,06:45:37.525,30.000,640,480,1
287,24337557.185,06:45:37.557,30.000,640,480,1
288,24337589.167,06:45:37.589,30.000,640,480,1
289,24337621.124,06:45:37.621,30.000,640,480,1
290,24337653.176,06:45:37.653,30.000,640,480,1
291,24337689.208,06:45:37.689,30.000,640,480,1
292,24337721.172,06:45:37.721,30.000,640,480,1
293,24337753.169,06:45:37.753,30.000,640,480,1
294,24337785.148,06:45:37.785,30.000,640,480,1
295,24337817.114,06:45:37.817,30.000,640,480,1
296,24337853.175,06:45:37.853,30.000,640,480,1
297,24337885.163,06:45:37.885,30.000,640,480,1
298,24337917.110,06:45:37.917,30.000,640,480,1
299,24337949.096,06:45:37.949,30.000,640,480,1
300,24337981.094,06:45:37.981,30.000,640,480,1
301,24338017.147,06:45:38.017,30.000,640,480,1
302,24338049.136,06:45:38.049,30.000,640,480,1
303,24338081.092,06:45:38.081,30.000,640,480,1
304,24338113.095,06:45:38.113,30.000,640,480,1
305,24338145.096,06:45:38.145,30.000,640,480,1
306,24338181.175,06:45:38.181,30.000,640,480,1
307,24338213.128,06:45:38.213,30.000,640,480,1
308,24338245.119,06:45:38.245,30.000,640,480,1
309,24338277.129,06:45:38.277,30.000,640,480,1
310,24338309.137,06:45:38.309,30.000,640,480,1
311,24338345.171,06:45:38.345,30.000,640,480,1
312,24338377.159,06:45:38.377,30.000,640,480,1
313,24338409.110,06:45:38.409,30.000,640,480,1
314,24338441.102,06:45:38.441,30.000,640,480,1
315,24338473.121,06:45:38.473,30.000,640,480,1
316,24338509.175,06:45:38.509,30.000,640,480,1
317,24338541.193,06:45:38.541,30.000,640,480,1
318,24338573.089,06:45:38.573,30.000,640,480,1
319,24338605.089,06:45:38.605,30.000,640,480,1
320,24338641.147,06:45:38.641,30.000,640,480,1
321,24338673.122,06:45:38.673,30.000,640,480,1
322,24338705.130,06:45:38.705,30.000,640,480,1
323,24338737.088,06:45:38.737,30.000,640,480,1
324,24338769.092,06:45:38.769,30.000,640,480,1
325,24338805.159,06:45:38.805,30.000,640,480,1
326,24338837.171,06:45:38.837,30.000,640,480,1
327,24338869.175,06:45:38.869,30.000,640,480,1
328,24338901.114,06:45:38.901,30.000,640,480,1
329,24338933.086,06:45:38.933,30.000,640,480,1
330,24338969.171,06:45:38.969,30.000,640,480,1
331,24339001.155,06:45:39.001,30.000,640,480,1
332,24339033.170,06:45:39.033,30.000,640,480,1
333,24339065.113,06:45:39.065,30.000,640,480,1
334,24339097.119,06:45:39.097,30.000,640,480,1
335,24339133.168,06:45:39.133,30.000,640,480,1
336,24339165.152,06:45:39.165,30.000,640,480,1
337,24339197.152,06:45:39.197,30.000,640,480,1
338,24339229.115,06:45:39.229,30.000,640,480,1
339,24339261.086,06:45:39.261,30.000,640,480,1
340,24339297.151,06:45:39.297,30.000,640,480,1
341,24339329.170,06:45:39.329,30.000,640,480,1
342,24339361.119,06:45:39.361,30.000,640,480,1
343,24339393.092,06:45:39.393,30.000,640,480,1
344,24339425.097,06:45:39.425,30.000,640,480,1
345,24339461.160,06:45:39.461,30.000,640,480,1
346,24339493.148,06:45:39.493,30.000,640,480,1
