frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
0,27329386.954,07:35:29.387,30.000,640,480,1,3
1,27329419.073,07:35:29.419,30.000,640,480,1,2
2,27329450.951,07:35:29.451,30.000,640,480,1,3
3,27329482.935,07:35:29.483,30.000,640,480,1,2
4,27329514.908,07:35:29.515,30.000,640,480,1,3
5,27336310.958,07:35:36.311,30.000,640,480,1,2
6,27336442.901,07:35:36.443,30.000,640,480,1,2
7,27336474.887,07:35:36.475,30.000,640,480,1,2
8,27336506.830,07:35:36.507,30.000,640,480,1,2
9,27336538.830,07:35:36.539,30.000,640,480,1,2
10,27336574.910,07:35:36.575,30.000,640,480,1,3
11,27336606.894,07:35:36.607,30.000,640,480,1,2
12,27336638.939,07:35:36.639,30.000,640,480,1,3
13,27336670.891,07:35:36.671,30.000,640,480,1,2
14,27336702.835,07:35:36.703,30.000,640,480,1,2
15,27336738.887,07:35:36.739,30.000,640,480,1,2
16,27336770.891,07:35:36.771,30.000,640,480,1,2
17,27336802.864,07:35:36.803,30.000,640,480,1,2
18,27336834.846,07:35:36.835,30.000,640,480,1,3
19,27336866.859,07:35:36.867,30.000,640,480,1,2
20,27336902.963,07:35:36.903,30.000,640,480,1,3
21,27336934.938,07:35:36.935,30.000,640,480,1,3
22,27336966.910,07:35:36.967,30.000,640,480,1,2
23,27336998.859,07:35:36.999,30.000,640,480,1,2
24,27337030.825,07:35:37.031,30.000,640,480,1,5
25,27337066.889,07:35:37.067,30.000,640,480,1,2
26,27337098.905,07:35:37.099,30.000,640,480,1,3
27,27337130.923,07:35:37.131,30.000,640,480,1,2
28,27337162.857,07:35:37.163,30.000,640,480,1,3
29,27337194.901,07:35:37.195,30.000,640,480,1,3
30,27337230.954,07:35:37.231,30.000,640,480,1,2
31,27337262.960,07:35:37.263,30.000,640,480,1,2
32,27337294.848,07:35:37.295,30.000,640,480,1,3
33,27337326.852,07:35:37.327,30.000,640,480,1,2
34,27337358.883,07:35:37.359,30.000,640,480,1,3
35,27337394.964,07:35:37.395,30.000,640,480,1,3
36,27337426.885,07:35:37.427,30.000,640,480,1,4
37,27337458.827,07:35:37.459,30.000,640,480,1,2
38,27337490.825,07:35:37.491,30.000,640,480,1,3
39,27337522.819,07:35:37.523,30.000,640,480,1,3
40,27337558.893,07:35:37.559,30.000,640,480,1,2
41,27337590.910,07:35:37.591,30.000,640,480,1,3
42,27337622.836,07:35:37.623,30.000,640,480,1,2
43,27337654.852,07:35:37.655,30.000,640,480,1,4
44,27337686.925,07:35:37.687,30.000,640,480,1,3
45,27337722.892,07:35:37.723,30.000,640,480,1,2
46,27337754.866,07:35:37.755,30.000,640,480,1,3
47,27337786.824,07:35:37.787,30.000,640,480,1,3
48,27337818.879,07:35:37.819,30.000,640,480,1,3
49,27337854.901,07:35:37.855,30.000,640,480,1,3
50,27337886.925,07:35:37.887,30.000,640,480,1,3
51,27337918.902,07:35:37.919,30.000,640,480,1,3
52,27337950.871,07:35:37.951,30.000,640,480,1,2
53,27337982.826,07:35:37.983,30.000,640,480,1,3
54,27338018.950,07:35:38.019,30.000,640,480,1,4
55,27338050.922,07:35:38.051,30.000,640,480,1,3
56,27338082.943,07:35:38.083,30.000,640,480,1,2
57,27338114.842,07:35:38.115,30.000,640,480,1,3
58,27338146.900,07:35:38.147,30.000,640,480,1,4
59,27338182.907,07:35:38.183,30.000,640,480,1,2
60,27338214.961,07:35:38.215,30.000,640,480,1,3
61,27338246.921,07:35:38.247,30.000,640,480,1,3
62,27338278.848,07:35:38.279,30.000,640,480,1,4
63,27338310.905,07:35:38.311,30.000,640,480,1,2
64,27338346.928,07:35:38.347,30.000,640,480,1,2
65,27338378.877,07:35:38.379,30.000,640,480,1,2
66,27338410.884,07:35:38.411,30.000,640,480,1,3
67,27338442.859,07:35:38.443,30.000,640,480,1,2
68,27338474.844,07:35:38.475,30.000,640,480,1,3
69,27338510.943,07:35:38.511,30.000,640,480,1,3
70,27338542.953,07:35:38.543,30.000,640,480,1,2
71,27338574.848,07:35:38.575,30.000,640,480,1,2
72,27338606.815,07:35:38.607,30.000,640,480,1,2
73,27338638.854,07:35:38.639,30.000,640,480,1,2
74,27338674.944,07:35:38.675,30.000,640,480,1,4
75,27338706.897,07:35:38.707,30.000,640,480,1,3
76,27338738.810,07:35:38.739,30.000,640,480,1,3
77,27338770.866,07:35:38.771,30.000,640,480,1,4
78,27338802.834,07:35:38.803,30.000,640,480,1,3
79,27338838.891,07:35:38.839,30.000,640,480,1,3
80,27338870.846,07:35:38.871,30.000,640,480,1,2
81,27338902.824,07:35:38.903,30.000,640,480,1,2
82,27338934.856,07:35:38.935,30.000,640,480,1,2
83,27338966.815,07:35:38.967,30.000,640,480,1,2
84,27339002.877,07:35:39.003,30.000,640,480,1,3
85,27339034.936,07:35:39.035,30.000,640,480,1,4
86,27339066.841,07:35:39.067,30.000,640,480,1,3
87,27339098.837,07:35:39.099,30.000,640,480,1,3
88,27339134.864,07:35:39.135,30.000,640,480,1,4
89,27339166.845,07:35:39.167,30.000,640,480,1,4
90,27339198.863,07:35:39.199,30.000,640,480,1,2
91,27339230.814,07:35:39.231,30.000,640,480,1,2
92,27339262.902,07:35:39.263,30.000,640,480,1,3
93,27339298.890,07:35:39.299,30.000,640,480,1,4
94,27339330.893,07:35:39.331,30.000,640,480,1,3
95,27339362.902,07:35:39.363,30.000,640,480,1,4
96,27339394.867,07:35:39.395,30.000,640,480,1,5
97,27339426.897,07:35:39.427,30.000,640,480,1,4
98,27339462.860,07:35:39.463,30.000,640,480,1,4
99,27339494.867,07:35:39.495,30.000,640,480,1,4
100,27339526.936,07:35:39.527,30.000,640,480,1,4
101,27339558.839,07:35:39.559,30.000,640,480,1,4
102,27339590.822,07:35:39.591,30.000,640,480,1,4
103,27339626.853,07:35:39.627,30.000,640,480,1,4
104,27339658.872,07:35:39.659,30.000,640,480,1,4
105,27339690.884,07:35:39.691,30.000,640,480,1,4
106,27339722.836,07:35:39.723,30.000,640,480,1,4
107,27339754.806,07:35:39.755,30.000,640,480,1,4
108,27339790.917,07:35:39.791,30.000,640,480,1,4
109,27339822.869,07:35:39.823,30.000,640,480,1,3
110,27339854.896,07:35:39.855,30.000,640,480,1,4
111,27339886.884,07:35:39.887,30.000,640,480,1,4
112,27339918.888,07:35:39.919,30.000,640,480,1,5
113,27339954.918,07:35:39.955,30.000,640,480,1,4
114,27339986.945,07:35:39.987,30.000,640,480,1,5
115,27340018.812,07:35:40.019,30.000,640,480,1,4
116,27340050.796,07:35:40.051,30.000,640,480,1,5
