frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
0,0.000,00:00:00.000,59.940,3840,2160,1,3
1,16.683,00:00:00.017,59.940,3840,2160,1,3
2,33.367,00:00:00.033,59.940,3840,2160,1,3
3,50.050,00:00:00.050,59.940,3840,2160,1,3
4,66.733,00:00:00.067,59.940,3840,2160,1,3
5,83.417,00:00:00.083,59.940,3840,2160,1,3
6,100.100,00:00:00.100,59.940,3840,2160,1,3
7,116.783,00:00:00.117,59.940,3840,2160,1,3
8,133.467,00:00:00.133,59.940,3840,2160,1,3
9,150.150,00:00:00.150,59.940,3840,2160,1,3
10,166.833,00:00:00.167,59.940,3840,2160,1,3
11,183.517,00:00:00.184,59.940,3840,2160,1,3
12,200.200,00:00:00.200,59.940,3840,2160,1,2
13,216.883,00:00:00.217,59.940,3840,2160,1,2
14,233.567,00:00:00.234,59.940,3840,2160,1,2
15,250.250,00:00:00.250,59.940,3840,2160,1,2
16,266.933,00:00:00.267,59.940,3840,2160,1,2
17,283.617,00:00:00.284,59.940,3840,2160,1,2
18,300.300,00:00:00.300,59.940,3840,2160,1,2
19,316.983,00:00:00.317,59.940,3840,2160,1,2
20,333.667,00:00:00.334,59.940,3840,2160,1,2
21,350.350,00:00:00.350,59.940,3840,2160,1,2
22,367.033,00:00:00.367,59.940,3840,2160,1,2
23,383.717,00:00:00.384,59.940,3840,2160,1,3
24,400.400,00:00:00.400,59.940,3840,2160,1,2
25,417.083,00:00:00.417,59.940,3840,2160,1,3
26,433.767,00:00:00.434,59.940,3840,2160,1,3
27,450.450,00:00:00.450,59.940,3840,2160,1,3
28,467.133,00:00:00.467,59.940,3840,2160,1,2
29,483.817,00:00:00.484,59.940,3840,2160,1,2
30,500.500,00:00:00.501,59.940,3840,2160,1,2
31,517.183,00:00:00.517,59.940,3840,2160,1,2
32,533.867,00:00:00.534,59.940,3840,2160,1,2
33,550.550,00:00:00.551,59.940,3840,2160,1,2
34,567.233,00:00:00.567,59.940,3840,2160,1,3
35,583.917,00:00:00.584,59.940,3840,2160,1,3
36,600.600,00:00:00.601,59.940,3840,2160,1,3
37,617.283,00:00:00.617,59.940,3840,2160,1,3
38,633.967,00:00:00.634,59.940,3840,2160,1,3
39,650.650,00:00:00.651,59.940,3840,2160,1,3
40,667.333,00:00:00.667,59.940,3840,2160,1,2
41,684.017,00:00:00.684,59.940,3840,2160,1,2
42,700.700,00:00:00.701,59.940,3840,2160,1,3
43,717.383,00:00:00.717,59.940,3840,2160,1,4
44,734.067,00:00:00.734,59.940,3840,2160,1,2
45,750.750,00:00:00.751,59.940,3840,2160,1,2
46,767.433,00:00:00.767,59.940,3840,2160,1,2
47,784.117,00:00:00.784,59.940,3840,2160,1,2
48,800.800,00:00:00.801,59.940,3840,2160,1,2
49,817.483,00:00:00.817,59.940,3840,2160,1,2
50,834.167,00:00:00.834,59.940,3840,2160,1,2
51,850.850,00:00:00.851,59.940,3840,2160,1,2
52,867.533,00:00:00.868,59.940,3840,2160,1,2
53,884.217,00:00:00.884,59.940,3840,2160,1,2
54,900.900,00:00:00.901,59.940,3840,2160,1,2
55,917.583,00:00:00.918,59.940,3840,2160,1,2
56,934.267,00:00:00.934,59.940,3840,2160,1,2
57,950.950,00:00:00.951,59.940,3840,2160,1,2
58,967.633,00:00:00.968,59.940,3840,2160,1,2
59,984.317,00:00:00.984,59.940,3840,2160,1,2
60,1001.000,00:00:01.001,59.940,3840,2160,1,2
61,1017.683,00:00:01.018,59.940,3840,2160,1,3
62,1034.367,00:00:01.034,59.940,3840,2160,1,3
63,1051.050,00:00:01.051,59.940,3840,2160,1,3
64,1067.733,00:00:01.068,59.940,3840,2160,1,3
65,1084.417,00:00:01.084,59.940,3840,2160,1,3
66,1101.100,00:00:01.101,59.940,3840,2160,1,3
67,1117.783,00:00:01.118,59.940,3840,2160,1,3
68,1134.467,00:00:01.134,59.940,3840,2160,1,3
69,1151.150,00:00:01.151,59.940,3840,2160,1,3
70,1167.833,00:00:01.168,59.940,3840,2160,1,3
71,1184.517,00:00:01.185,59.940,3840,2160,1,3
72,1201.200,00:00:01.201,59.940,3840,2160,1,3
73,1217.883,00:00:01.218,59.940,3840,2160,1,3
74,1234.567,00:00:01.235,59.940,3840,2160,1,3
75,1251.250,00:00:01.251,59.940,3840,2160,1,3
76,1267.933,00:00:01.268,59.940,3840,2160,1,3
77,1284.617,00:00:01.285,59.940,3840,2160,1,5
78,1301.300,00:00:01.301,59.940,3840,2160,1,5
79,1317.983,00:00:01.318,59.940,3840,2160,1,3
80,1334.667,00:00:01.335,59.940,3840,2160,1,3
81,1351.350,00:00:01.351,59.940,3840,2160,1,5
82,1368.033,00:00:01.368,59.940,3840,2160,1,5
83,1384.717,00:00:01.385,59.940,3840,2160,1,5
84,1401.400,00:00:01.401,59.940,3840,2160,1,3
85,1418.083,00:00:01.418,59.940,3840,2160,1,4
86,1434.767,00:00:01.435,59.940,3840,2160,1,5
87,1451.450,00:00:01.451,59.940,3840,2160,1,4
88,1468.133,00:00:01.468,59.940,3840,2160,1,3
89,1484.817,00:00:01.485,59.940,3840,2160,1,3
90,1501.500,00:00:01.502,59.940,3840,2160,1,3
91,1518.183,00:00:01.518,59.940,3840,2160,1,2
92,1534.867,00:00:01.535,59.940,3840,2160,1,2
93,1551.550,00:00:01.552,59.940,3840,2160,1,2
94,1568.233,00:00:01.568,59.940,3840,2160,1,3
95,1584.917,00:00:01.585,59.940,3840,2160,1,3
96,1601.600,00:00:01.602,59.940,3840,2160,1,3
97,1618.283,00:00:01.618,59.940,3840,2160,1,3
98,1634.967,00:00:01.635,59.940,3840,2160,1,2
99,1651.650,00:00:01.652,59.940,3840,2160,1,2
100,1668.333,00:00:01.668,59.940,3840,2160,1,2
101,1685.017,00:00:01.685,59.940,3840,2160,1,3
102,1701.700,00:00:01.702,59.940,3840,2160,1,3
103,1718.383,00:00:01.718,59.940,3840,2160,1,3
104,1735.067,00:00:01.735,59.940,3840,2160,1,4
105,1751.750,00:00:01.752,59.940,3840,2160,1,4
106,1768.433,00:00:01.768,59.940,3840,2160,1,3
107,1785.117,00:00:01.785,59.940,3840,2160,1,3
108,1801.800,00:00:01.802,59.940,3840,2160,1,3
109,1818.483,00:00:01.818,59.940,3840,2160,1,3
110,1835.167,00:00:01.835,59.940,3840,2160,1,4
111,1851.850,00:00:01.852,59.940,3840,2160,1,2
112,1868.533,00:00:01.869,59.940,3840,2160,1,2
113,1885.217,00:00:01.885,59.940,3840,2160,1,2
114,1901.900,00:00:01.902,59.940,3840,2160,1,2
115,1918.583,00:00:01.919,59.940,3840,2160,1,2
116,1935.267,00:00:01.935,59.940,3840,2160,1,3
117,1951.950,00:00:01.952,59.940,3840,2160,1,2
118,1968.633,00:00:01.969,59.940,3840,2160,1,2
119,1985.317,00:00:01.985,59.940,3840,2160,1,2
120,2002.000,00:00:02.002,59.940,3840,2160,1,3
121,2018.683,00:00:02.019,59.940,3840,2160,1,3
122,2035.367,00:00:02.035,59.940,3840,2160,1,3
123,2052.050,00:00:02.052,59.940,3840,2160,1,3
124,2068.733,00:00:02.069,59.940,3840,2160,1,3
125,2085.417,00:00:02.085,59.940,3840,2160,1,3
126,2102.100,00:00:02.102,59.940,3840,2160,1,2
127,2118.783,00:00:02.119,59.940,3840,2160,1,3
128,2135.467,00:00:02.135,59.940,3840,2160,1,2
129,2152.150,00:00:02.152,59.940,3840,2160,1,2
130,2168.833,00:00:02.169,59.940,3840,2160,1,2
131,2185.517,00:00:02.186,59.940,3840,2160,1,2
132,2202.200,00:00:02.202,59.940,3840,2160,1,2
133,2218.883,00:00:02.219,59.940,3840,2160,1,2
134,2235.567,00:00:02.236,59.940,3840,2160,1,2
135,2252.250,00:00:02.252,59.940,3840,2160,1,2
136,2268.933,00:00:02.269,59.940,3840,2160,1,2
137,2285.617,00:00:02.286,59.940,3840,2160,1,1
138,2302.300,00:00:02.302,59.940,3840,2160,1,1
139,2318.983,00:00:02.319,59.940,3840,2160,1,2
140,2335.667,00:00:02.336,59.940,3840,2160,1,2
141,2352.350,00:00:02.352,59.940,3840,2160,1,2
142,2369.033,00:00:02.369,59.940,3840,2160,1,1
143,2385.717,00:00:02.386,59.940,3840,2160,1,1
144,2402.400,00:00:02.402,59.940,3840,2160,1,1
145,2419.083,00:00:02.419,59.940,3840,2160,1,1
146,2435.767,00:00:02.436,59.940,3840,2160,1,2
147,2452.450,00:00:02.452,59.940,3840,2160,1,2
148,2469.133,00:00:02.469,59.940,3840,2160,1,2
149,2485.817,00:00:02.486,59.940,3840,2160,1,2
150,2502.500,00:00:02.502,59.940,3840,2160,1,2
151,2519.183,00:00:02.519,59.940,3840,2160,1,2
152,2535.867,00:00:02.536,59.940,3840,2160,1,2
153,2552.550,00:00:02.553,59.940,3840,2160,1,2
154,2569.233,00:00:02.569,59.940,3840,2160,1,2
155,2585.917,00:00:02.586,59.940,3840,2160,1,1
156,2602.600,00:00:02.603,59.940,3840,2160,1,1
157,2619.283,00:00:02.619,59.940,3840,2160,1,1
158,2635.967,00:00:02.636,59.940,3840,2160,1,1
159,2652.650,00:00:02.653,59.940,3840,2160,1,1
160,2669.333,00:00:02.669,59.940,3840,2160,1,1
161,2686.017,00:00:02.686,59.940,3840,2160,1,1
162,2702.700,00:00:02.703,59.940,3840,2160,1,1
163,2719.383,00:00:02.719,59.940,3840,2160,1,1
164,2736.067,00:00:02.736,59.940,3840,2160,1,1
165,2752.750,00:00:02.753,59.940,3840,2160,1,1
166,2769.433,00:00:02.769,59.940,3840,2160,1,1
167,2786.117,00:00:02.786,59.940,3840,2160,1,1
168,2802.800,00:00:02.803,59.940,3840,2160,1,1
169,2819.483,00:00:02.819,59.940,3840,2160,1,1
170,2836.167,00:00:02.836,59.940,3840,2160,1,1
171,2852.850,00:00:02.853,59.940,3840,2160,1,1
172,2869.533,00:00:02.870,59.940,3840,2160,1,1
173,2886.217,00:00:02.886,59.940,3840,2160,1,1
174,2902.900,00:00:02.903,59.940,3840,2160,1,1
175,2919.583,00:00:02.920,59.940,3840,2160,1,1
176,2936.267,00:00:02.936,59.940,3840,2160,1,1
177,2952.950,00:00:02.953,59.940,3840,2160,1,1
178,2969.633,00:00:02.970,59.940,3840,2160,1,1
179,2986.317,00:00:02.986,59.940,3840,2160,1,2
180,3003.000,00:00:03.003,59.940,3840,2160,1,1
181,3019.683,00:00:03.020,59.940,3840,2160,1,1
182,3036.367,00:00:03.036,59.940,3840,2160,1,1
183,3053.050,00:00:03.053,59.940,3840,2160,1,2
184,3069.733,00:00:03.070,59.940,3840,2160,1,1
185,3086.417,00:00:03.086,59.940,3840,2160,1,2
186,3103.100,00:00:03.103,59.940,3840,2160,1,3
187,3119.783,00:00:03.120,59.940,3840,2160,1,4
188,3136.467,00:00:03.136,59.940,3840,2160,1,2
189,3153.150,00:00:03.153,59.940,3840,2160,1,3
190,3169.833,00:00:03.170,59.940,3840,2160,1,2
191,3186.517,00:00:03.187,59.940,3840,2160,1,2
192,3203.200,00:00:03.203,59.940,3840,2160,1,3
193,3219.883,00:00:03.220,59.940,3840,2160,1,3
194,3236.567,00:00:03.237,59.940,3840,2160,1,2
195,3253.250,00:00:03.253,59.940,3840,2160,1,2
196,3269.933,00:00:03.270,59.940,3840,2160,1,2
197,3286.617,00:00:03.287,59.940,3840,2160,1,2
198,3303.300,00:00:03.303,59.940,3840,2160,1,3
199,3319.983,00:00:03.320,59.940,3840,2160,1,3
200,3336.667,00:00:03.337,59.940,3840,2160,1,3
201,3353.350,00:00:03.353,59.940,3840,2160,1,3
202,3370.033,00:00:03.370,59.940,3840,2160,1,3
203,3386.717,00:00:03.387,59.940,3840,2160,1,3
204,3403.400,00:00:03.403,59.940,3840,2160,1,3
205,3420.083,00:00:03.420,59.940,3840,2160,1,3
206,3436.767,00:00:03.437,59.940,3840,2160,1,3
207,3453.450,00:00:03.453,59.940,3840,2160,1,2
208,3470.133,00:00:03.470,59.940,3840,2160,1,2
209,3486.817,00:00:03.487,59.940,3840,2160,1,3
210,3503.500,00:00:03.504,59.940,3840,2160,1,3
211,3520.183,00:00:03.520,59.940,3840,2160,1,2
212,3536.867,00:00:03.537,59.940,3840,2160,1,4
213,3553.550,00:00:03.554,59.940,3840,2160,1,5
214,3570.233,00:00:03.570,59.940,3840,2160,1,9
215,3586.917,00:00:03.587,59.940,3840,2160,1,4
216,3603.600,00:00:03.604,59.940,3840,2160,1,3
217,3620.283,00:00:03.620,59.940,3840,2160,1,4
218,3636.967,00:00:03.637,59.940,3840,2160,1,4
219,3653.650,00:00:03.654,59.940,3840,2160,1,4
220,3670.333,00:00:03.670,59.940,3840,2160,1,4
221,3687.017,00:00:03.687,59.940,3840,2160,1,3
222,3703.700,00:00:03.704,59.940,3840,2160,1,3
223,3720.383,00:00:03.720,59.940,3840,2160,1,3
224,3737.067,00:00:03.737,59.940,3840,2160,1,3
225,3753.750,00:00:03.754,59.940,3840,2160,1,3
226,3770.433,00:00:03.770,59.940,3840,2160,1,3
227,3787.117,00:00:03.787,59.940,3840,2160,1,3
228,3803.800,00:00:03.804,59.940,3840,2160,1,3
