frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
0,9558840.098,02:39:18.840,30.000,640,480,1,3
1,9558872.103,02:39:18.872,30.000,640,480,1,3
2,9558904.086,02:39:18.904,30.000,640,480,1,3
3,9558936.039,02:39:18.936,30.000,640,480,1,3
4,9558968.120,02:39:18.968,30.000,640,480,1,3
5,9559920.103,02:39:19.920,30.000,640,480,1,3
6,9559952.015,02:39:19.952,30.000,640,480,1,3
7,9559988.080,02:39:19.988,30.000,640,480,1,3
8,9560020.046,02:39:20.020,30.000,640,480,1,3
9,9560051.989,02:39:20.052,30.000,640,480,1,3
10,9560083.988,02:39:20.084,30.000,640,480,1,3
11,9560120.081,02:39:20.120,30.000,640,480,1,3
12,9560152.029,02:39:20.152,30.000,640,480,1,3
13,9560184.074,02:39:20.184,30.000,640,480,1,4
14,9560215.993,02:39:20.216,30.000,640,480,1,3
15,9560248.080,02:39:20.248,30.000,640,480,1,4
16,9560284.037,02:39:20.284,30.000,640,480,1,3
17,9560316.029,02:39:20.316,30.000,640,480,1,3
18,9560348.014,02:39:20.348,30.000,640,480,1,2
19,9560380.063,02:39:20.380,30.000,640,480,1,3
20,9560411.996,02:39:20.412,30.000,640,480,1,3
21,9560448.025,02:39:20.448,30.000,640,480,1,3
22,9560480.066,02:39:20.480,30.000,640,480,1,3
23,9560512.094,02:39:20.512,30.000,640,480,1,3
24,9560544.028,02:39:20.544,30.000,640,480,1,2
25,9560575.997,02:39:20.576,30.000,640,480,1,2
26,9560612.046,02:39:20.612,30.000,640,480,1,7
27,9560644.065,02:39:20.644,30.000,640,480,1,3
28,9560676.056,02:39:20.676,30.000,640,480,1,3
29,9560707.980,02:39:20.708,30.000,640,480,1,3
30,9560740.023,02:39:20.740,30.000,640,480,1,3
31,9560776.083,02:39:20.776,30.000,640,480,1,2
32,9560808.024,02:39:20.808,30.000,640,480,1,3
33,9560840.022,02:39:20.840,30.000,640,480,1,3
34,9560872.065,02:39:20.872,30.000,640,480,1,3
35,9560904.015,02:39:20.904,30.000,640,480,1,3
36,9560940.066,02:39:20.940,30.000,640,480,1,4
37,9560972.076,02:39:20.972,30.000,640,480,1,3
38,9561004.007,02:39:21.004,30.000,640,480,1,4
39,9561035.984,02:39:21.036,30.000,640,480,1,3
40,9561068.010,02:39:21.068,30.000,640,480,1,3
41,9561104.068,02:39:21.104,30.000,640,480,1,3
42,9561136.079,02:39:21.136,30.000,640,480,1,3
43,9561167.990,02:39:21.168,30.000,640,480,1,4
44,9561200.017,02:39:21.200,30.000,640,480,1,4
45,9561231.979,02:39:21.232,30.000,640,480,1,3
46,9561268.103,02:39:21.268,30.000,640,480,1,3
47,9561300.085,02:39:21.300,30.000,640,480,1,3
48,9561331.986,02:39:21.332,30.000,640,480,1,3
49,9561363.984,02:39:21.364,30.000,640,480,1,3
50,9561395.972,02:39:21.396,30.000,640,480,1,3
51,9561432.046,02:39:21.432,30.000,640,480,1,3
52,9561464.022,02:39:21.464,30.000,640,480,1,3
53,9561495.971,02:39:21.496,30.000,640,480,1,3
54,9561528.018,02:39:21.528,30.000,640,480,1,6
55,9561564.046,02:39:21.564,30.000,640,480,1,3
56,9561596.019,02:39:21.596,30.000,640,480,1,3
57,9561628.018,02:39:21.628,30.000,640,480,1,3
58,9561659.969,02:39:21.660,30.000,640,480,1,3
59,9561692.017,02:39:21.692,30.000,640,480,1,3
60,9561728.067,02:39:21.728,30.000,640,480,1,3
61,9561760.088,02:39:21.760,30.000,640,480,1,4
62,9561792.041,02:39:21.792,30.000,640,480,1,3
63,9561824.056,02:39:21.824,30.000,640,480,1,2
64,9561856.046,02:39:21.856,30.000,640,480,1,3
65,9561892.078,02:39:21.892,30.000,640,480,1,3
66,9561924.087,02:39:21.924,30.000,640,480,1,3
67,9561956.029,02:39:21.956,30.000,640,480,1,3
68,9561988.044,02:39:21.988,30.000,640,480,1,4
69,9562019.985,02:39:22.020,30.000,640,480,1,3
70,9562056.014,02:39:22.056,30.000,640,480,1,3
71,9562088.017,02:39:22.088,30.000,640,480,1,3
72,9562120.090,02:39:22.120,30.000,640,480,1,3
73,9562152.057,02:39:22.152,30.000,640,480,1,3
74,9562184.063,02:39:22.184,30.000,640,480,1,4
75,9562220.048,02:39:22.220,30.000,640,480,1,3
76,9562252.083,02:39:22.252,30.000,640,480,1,3
77,9562284.032,02:39:22.284,30.000,640,480,1,3
78,9562316.019,02:39:22.316,30.000,640,480,1,3
79,9562347.994,02:39:22.348,30.000,640,480,1,3
80,9562384.056,02:39:22.384,30.000,640,480,1,3
81,9562416.010,02:39:22.416,30.000,640,480,1,5
82,9562447.964,02:39:22.448,30.000,640,480,1,3
83,9562479.961,02:39:22.480,30.000,640,480,1,3
84,9562512.048,02:39:22.512,30.000,640,480,1,3
85,9562548.058,02:39:22.548,30.000,640,480,1,2
86,9562580.045,02:39:22.580,30.000,640,480,1,3
87,9562611.957,02:39:22.612,30.000,640,480,1,3
88,9562643.975,02:39:22.644,30.000,640,480,1,3
89,9562675.992,02:39:22.676,30.000,640,480,1,2
90,9562712.074,02:39:22.712,30.000,640,480,1,2
91,9562744.059,02:39:22.744,30.000,640,480,1,3
92,9562776.037,02:39:22.776,30.000,640,480,1,3
93,9562808.026,02:39:22.808,30.000,640,480,1,2
94,9562844.022,02:39:22.844,30.000,640,480,1,2
95,9562876.030,02:39:22.876,30.000,640,480,1,3
96,9562908.042,02:39:22.908,30.000,640,480,1,2
97,9562939.962,02:39:22.940,30.000,640,480,1,4
98,9562971.963,02:39:22.972,30.000,640,480,1,4
99,9563008.015,02:39:23.008,30.000,640,480,1,3
100,9563040.018,02:39:23.040,30.000,640,480,1,4
101,9563071.993,02:39:23.072,30.000,640,480,1,3
102,9563103.970,02:39:23.104,30.000,640,480,1,3
103,9563135.968,02:39:23.136,30.000,640,480,1,4
104,9563172.025,02:39:23.172,30.000,640,480,1,3
105,9563203.992,02:39:23.204,30.000,640,480,1,1
106,9563236.060,02:39:23.236,30.000,640,480,1,2
107,9563267.960,02:39:23.268,30.000,640,480,1,5
108,9563300.008,02:39:23.300,30.000,640,480,1,4
109,9563336.012,02:39:23.336,30.000,640,480,1,2
110,9563368.007,02:39:23.368,30.000,640,480,1,6
111,9563400.022,02:39:23.400,30.000,640,480,1,6
112,9563431.955,02:39:23.432,30.000,640,480,1,7
113,9563463.994,02:39:23.464,30.000,640,480,1,5
114,9563500.049,02:39:23.500,30.000,640,480,1,4
115,9563532.069,02:39:23.532,30.000,640,480,1,5
116,9563563.995,02:39:23.564,30.000,640,480,1,10
117,9563595.965,02:39:23.596,30.000,640,480,1,6
118,9563627.989,02:39:23.628,30.000,640,480,1,4
119,9563664.079,02:39:23.664,30.000,640,480,1,3
120,9563696.029,02:39:23.696,30.000,640,480,1,2
121,9563727.952,02:39:23.728,30.000,640,480,1,2
122,9563759.961,02:39:23.760,30.000,640,480,1,4
123,9563792.030,02:39:23.792,30.000,640,480,1,3
124,9563828.024,02:39:23.828,30.000,640,480,1,6
125,9563860.056,02:39:23.860,30.000,640,480,1,3
126,9563891.950,02:39:23.892,30.000,640,480,1,3
127,9563923.988,02:39:23.924,30.000,640,480,1,3
128,9563955.954,02:39:23.956,30.000,640,480,1,4
129,9563992.039,02:39:23.992,30.000,640,480,1,3
130,9564024.028,02:39:24.024,30.000,640,480,1,3
131,9564056.004,02:39:24.056,30.000,640,480,1,3
132,9564087.981,02:39:24.088,30.000,640,480,1,3
133,9564120.020,02:39:24.120,30.000,640,480,1,3
134,9564156.032,02:39:24.156,30.000,640,480,1,3
135,9564188.055,02:39:24.188,30.000,640,480,1,3
136,9564219.944,02:39:24.220,30.000,640,480,1,4
137,9564251.991,02:39:24.252,30.000,640,480,1,3
138,9564288.016,02:39:24.288,30.000,640,480,1,4
139,9564319.999,02:39:24.320,30.000,640,480,1,3
140,9564352.055,02:39:24.352,30.000,640,480,1,3
141,9564383.947,02:39:24.384,30.000,640,480,1,4
142,9564416.033,02:39:24.416,30.000,640,480,1,3
143,9564451.987,02:39:24.452,30.000,640,480,1,3
144,9564484.046,02:39:24.484,30.000,640,480,1,4
145,9564515.982,02:39:24.516,30.000,640,480,1,5
146,9564547.943,02:39:24.548,30.000,640,480,1,5
147,9564579.988,02:39:24.580,30.000,640,480,1,4
148,9564615.996,02:39:24.616,30.000,640,480,1,3
149,9564648.013,02:39:24.648,30.000,640,480,1,3
150,9564679.991,02:39:24.680,30.000,640,480,1,3
151,9564711.941,02:39:24.712,30.000,640,480,1,3
152,9564743.943,02:39:24.744,30.000,640,480,1,4
153,9564779.978,02:39:24.780,30.000,640,480,1,5
154,9564811.986,02:39:24.812,30.000,640,480,1,2
155,9564843.984,02:39:24.844,30.000,640,480,1,3
156,9564875.936,02:39:24.876,30.000,640,480,1,4
157,9564907.991,02:39:24.908,30.000,640,480,1,5
158,9564943.971,02:39:24.944,30.000,640,480,1,3
159,9564976.068,02:39:24.976,30.000,640,480,1,5
160,9565007.968,02:39:25.008,30.000,640,480,1,4
161,9565040.017,02:39:25.040,30.000,640,480,1,4
162,9565072.037,02:39:25.072,30.000,640,480,1,2
163,9565108.033,02:39:25.108,30.000,640,480,1,3
164,9565140.072,02:39:25.140,30.000,640,480,1,4
165,9565171.971,02:39:25.172,30.000,640,480,1,3
166,9565203.975,02:39:25.204,30.000,640,480,1,4
167,9565236.015,02:39:25.236,30.000,640,480,1,4
168,9565272.047,02:39:25.272,30.000,640,480,1,3
169,9565304.022,02:39:25.304,30.000,640,480,1,3
170,9565335.991,02:39:25.336,30.000,640,480,1,3
171,9565368.020,02:39:25.368,30.000,640,480,1,4
172,9565400.034,02:39:25.400,30.000,640,480,1,5
173,9565436.019,02:39:25.436,30.000,640,480,1,4
174,9565468.041,02:39:25.468,30.000,640,480,1,5
175,9565499.962,02:39:25.500,30.000,640,480,1,4
176,9565532.009,02:39:25.532,30.000,640,480,1,3
177,9565563.937,02:39:25.564,30.000,640,480,1,6
178,9565599.988,02:39:25.600,30.000,640,480,1,5
179,9565632.057,02:39:25.632,30.000,640,480,1,4
180,9565664.001,02:39:25.664,30.000,640,480,1,5
181,9565696.033,02:39:25.696,30.000,640,480,1,5
182,9565732.033,02:39:25.732,30.000,640,480,1,5
183,9565764.024,02:39:25.764,30.000,640,480,1,5
184,9565796.023,02:39:25.796,30.000,640,480,1,6
185,9565827.929,02:39:25.828,30.000,640,480,1,6
186,9565859.937,02:39:25.860,30.000,640,480,1,5
187,9565895.976,02:39:25.896,30.000,640,480,1,5
188,9565927.992,02:39:25.928,30.000,640,480,1,6
189,9565960.022,02:39:25.960,30.000,640,480,1,6
190,9565991.986,02:39:25.992,30.000,640,480,1,4
191,9566023.987,02:39:26.024,30.000,640,480,1,6
192,9566060.054,02:39:26.060,30.000,640,480,1,4
193,9566092.099,02:39:26.092,30.000,640,480,1,4
194,9566124.022,02:39:26.124,30.000,640,480,1,5
195,9566155.930,02:39:26.156,30.000,640,480,1,6
196,9566188.014,02:39:26.188,30.000,640,480,1,4
197,9566224.003,02:39:26.224,30.000,640,480,1,5
198,9566256.051,02:39:26.256,30.000,640,480,1,4
199,9566288.048,02:39:26.288,30.000,640,480,1,5
200,9566319.987,02:39:26.320,30.000,640,480,1,5
201,9566352.051,02:39:26.352,30.000,640,480,1,5
202,9566388.056,02:39:26.388,30.000,640,480,1,5
203,9566419.987,02:39:26.420,30.000,640,480,1,4
204,9566451.952,02:39:26.452,30.000,640,480,1,7
205,9566483.961,02:39:26.484,30.000,640,480,1,4
206,9566515.992,02:39:26.516,30.000,640,480,1,5
207,9566551.989,02:39:26.552,30.000,640,480,1,6
208,9566583.957,02:39:26.584,30.000,640,480,1,5
209,9566615.929,02:39:26.616,30.000,640,480,1,7
210,9566647.943,02:39:26.648,30.000,640,480,1,5
211,9566679.968,02:39:26.680,30.000,640,480,1,6
212,9566715.957,02:39:26.716,30.000,640,480,1,7
213,9566747.971,02:39:26.748,30.000,640,480,1,4
214,9566779.960,02:39:26.780,30.000,640,480,1,4
215,9566812.007,02:39:26.812,30.000,640,480,1,4
216,9566843.963,02:39:26.844,30.000,640,480,1,6
217,9566879.979,02:39:26.880,30.000,640,480,1,5
218,9566912.050,02:39:26.912,30.000,640,480,1,3
219,9566943.935,02:39:26.944,30.000,640,480,1,2
220,9566975.941,02:39:26.976,30.000,640,480,1,6
221,9567011.973,02:39:27.012,30.000,640,480,1,8
222,9567043.972,02:39:27.044,30.000,640,480,1,3
223,9567075.955,02:39:27.076,30.000,640,480,1,5
224,9567107.932,02:39:27.108,30.000,640,480,1,4
225,9567139.939,02:39:27.140,30.000,640,480,1,4
226,9567175.989,02:39:27.176,30.000,640,480,1,3
227,9567208.013,02:39:27.208,30.000,640,480,1,4
228,9567240.017,02:39:27.240,30.000,640,480,1,4
229,9567271.922,02:39:27.272,30.000,640,480,1,5
230,9567304.005,02:39:27.304,30.000,640,480,1,4
231,9567340.036,02:39:27.340,30.000,640,480,1,6
232,9567372.006,02:39:27.372,30.000,640,480,1,6
233,9567403.974,02:39:27.404,30.000,640,480,1,6
234,9567435.977,02:39:27.436,30.000,640,480,1,4
235,9567467.973,02:39:27.468,30.000,640,480,1,7
236,9567504.044,02:39:27.504,30.000,640,480,1,5
237,9567535.960,02:39:27.536,30.000,640,480,1,5
238,9567568.047,02:39:27.568,30.000,640,480,1,6
239,9567599.969,02:39:27.600,30.000,640,480,1,4
240,9567631.988,02:39:27.632,30.000,640,480,1,4
241,9567667.952,02:39:27.668,30.000,640,480,1,5
242,9567699.978,02:39:27.700,30.000,640,480,1,4
243,9567731.944,02:39:27.732,30.000,640,480,1,4
244,9567763.997,02:39:27.764,30.000,640,480,1,5
245,9567796.002,02:39:27.796,30.000,640,480,1,7
246,9567832.005,02:39:27.832,30.000,640,480,1,11
247,9567864.030,02:39:27.864,30.000,640,480,1,7
248,9567895.915,02:39:27.896,30.000,640,480,1,4
249,9567927.991,02:39:27.928,30.000,640,480,1,6
250,9567959.997,02:39:27.960,30.000,640,480,1,5
251,9567995.999,02:39:27.996,30.000,640,480,1,4
252,9568028.008,02:39:28.028,30.000,640,480,1,4
253,9568059.941,02:39:28.060,30.000,640,480,1,5
254,9568091.979,02:39:28.092,30.000,640,480,1,3
255,9568123.955,02:39:28.124,30.000,640,480,1,3
256,9568160.040,02:39:28.160,30.000,640,480,1,5
257,9568191.953,02:39:28.192,30.000,640,480,1,4
258,9568223.918,02:39:28.224,30.000,640,480,1,4
259,9568256.008,02:39:28.256,30.000,640,480,1,3
260,9568287.926,02:39:28.288,30.000,640,480,1,4
261,9568324.018,02:39:28.324,30.000,640,480,1,3
262,9568355.960,02:39:28.356,30.000,640,480,1,3
263,9568387.974,02:39:28.388,30.000,640,480,1,3
264,9568419.927,02:39:28.420,30.000,640,480,1,4
265,9568455.990,02:39:28.456,30.000,640,480,1,5
266,9568487.969,02:39:28.488,30.000,640,480,1,2
267,9568519.963,02:39:28.520,30.000,640,480,1,4
268,9568551.904,02:39:28.552,30.000,640,480,1,3
269,9568583.907,02:39:28.584,30.000,640,480,1,5
270,9568619.972,02:39:28.620,30.000,640,480,1,4
271,9568651.969,02:39:28.652,30.000,640,480,1,5
