frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
0,0.000,00:00:00.000,59.940,3840,2160,1,3
1,16.683,00:00:00.017,59.940,3840,2160,1,3
2,33.367,00:00:00.033,59.940,3840,2160,1,3
3,50.050,00:00:00.050,59.940,3840,2160,1,3
4,66.733,00:00:00.067,59.940,3840,2160,1,3
5,83.417,00:00:00.083,59.940,3840,2160,1,3
6,100.100,00:00:00.100,59.940,3840,2160,1,3
7,116.783,00:00:00.117,59.940,3840,2160,1,3
8,133.467,00:00:00.133,59.940,3840,2160,1,3
9,150.150,00:00:00.150,59.940,3840,2160,1,3
10,166.833,00:00:00.167,59.940,3840,2160,1,3
11,183.517,00:00:00.184,59.940,3840,2160,1,3
12,200.200,00:00:00.200,59.940,3840,2160,1,2
13,216.883,00:00:00.217,59.940,3840,2160,1,2
14,233.567,00:00:00.234,59.940,3840,2160,1,2
15,250.250,00:00:00.250,59.940,3840,2160,1,2
16,266.933,00:00:00.267,59.940,3840,2160,1,2
17,283.617,00:00:00.284,59.940,3840,2160,1,2
18,300.300,00:00:00.300,59.940,3840,2160,1,2
19,316.983,00:00:00.317,59.940,3840,2160,1,2
20,333.667,00:00:00.334,59.940,3840,2160,1,2
21,350.350,00:00:00.350,59.940,3840,2160,1,2
22,367.033,00:00:00.367,59.940,3840,2160,1,2
23,383.717,00:00:00.384,59.940,3840,2160,1,3
24,400.400,00:00:00.400,59.940,3840,2160,1,2
25,417.083,00:00:00.417,59.940,3840,2160,1,3
26,433.767,00:00:00.434,59.940,3840,2160,1,3
27,450.450,00:00:00.450,59.940,3840,2160,1,3
28,467.133,00:00:00.467,59.940,3840,2160,1,2
29,483.817,00:00:00.484,59.940,3840,2160,1,2
30,500.500,00:00:00.501,59.940,3840,2160,1,2
31,517.183,00:00:00.517,59.940,3840,2160,1,2
32,533.867,00:00:00.534,59.940,3840,2160,1,2
33,550.550,00:00:00.551,59.940,3840,2160,1,2
34,567.233,00:00:00.567,59.940,3840,2160,1,3
35,583.917,00:00:00.584,59.940,3840,2160,1,3
36,600.600,00:00:00.601,59.940,3840,2160,1,3
37,617.283,00:00:00.617,59.940,3840,2160,1,3
38,633.967,00:00:00.634,59.940,3840,2160,1,3
39,650.650,00:00:00.651,59.940,3840,2160,1,3
40,667.333,00:00:00.667,59.940,3840,2160,1,2
41,684.017,00:00:00.684,59.940,3840,2160,1,2
42,700.700,00:00:00.701,59.940,3840,2160,1,3
43,717.383,00:00:00.717,59.940,3840,2160,1,4
44,734.067,00:00:00.734,59.940,3840,2160,1,2
45,750.750,00:00:00.751,59.940,3840,2160,1,2
46,767.433,00:00:00.767,59.940,3840,2160,1,2
47,784.117,00:00:00.784,59.940,3840,2160,1,2
48,800.800,00:00:00.801,59.940,3840,2160,1,2
49,817.483,00:00:00.817,59.940,3840,2160,1,2
50,834.167,00:00:00.834,59.940,3840,2160,1,2
51,850.850,00:00:00.851,59.940,3840,2160,1,2
52,867.533,00:00:00.868,59.940,3840,2160,1,2
53,884.217,00:00:00.884,59.940,3840,2160,1,2
54,900.900,00:00:00.901,59.940,3840,2160,1,2
55,917.583,00:00:00.918,59.940,3840,2160,1,2
56,934.267,00:00:00.934,59.940,3840,2160,1,2
57,950.950,00:00:00.951,59.940,3840,2160,1,2
58,967.633,00:00:00.968,59.940,3840,2160,1,2
59,984.317,00:00:00.984,59.940,3840,2160,1,2
60,1001.000,00:00:01.001,59.940,3840,2160,1,2
61,1017.683,00:00:01.018,59.940,3840,2160,1,3
62,1034.367,00:00:01.034,59.940,3840,2160,1,3
63,1051.050,00:00:01.051,59.940,3840,2160,1,3
64,1067.733,00:00:01.068,59.940,3840,2160,1,3
65,1084.417,00:00:01.084,59.940,3840,2160,1,3
66,1101.100,00:00:01.101,59.940,3840,2160,1,3
67,1117.783,00:00:01.118,59.940,3840,2160,1,3
68,1134.467,00:00:01.134,59.940,3840,2160,1,3
69,1151.150,00:00:01.151,59.940,3840,2160,1,3
70,1167.833,00:00:01.168,59.940,3840,2160,1,3
71,1184.517,00:00:01.185,59.940,3840,2160,1,3
72,1201.200,00:00:01.201,59.940,3840,2160,1,3
73,1217.883,00:00:01.218,59.940,3840,2160,1,3
74,1234.567,00:00:01.235,59.940,3840,2160,1,3
75,1251.250,00:00:01.251,59.940,3840,2160,1,3
76,1267.933,00:00:01.268,59.940,3840,2160,1,3
77,1284.617,00:00:01.285,59.940,3840,2160,1,5
78,1301.300,00:00:01.301,59.940,3840,2160,1,5
79,1317.983,00:00:01.318,59.940,3840,2160,1,3
80,1334.667,00:00:01.335,59.940,3840,2160,1,3
81,1351.350,00:00:01.351,59.940,3840,2160,1,5
82,1368.033,00:00:01.368,59.940,3840,2160,1,5
83,1384.717,00:00:01.385,59.940,3840,2160,1,5
84,1401.400,00:00:01.401,59.940,3840,2160,1,3
85,1418.083,00:00:01.418,59.940,3840,2160,1,4
86,1434.767,00:00:01.435,59.940,3840,2160,1,5
87,1451.450,00:00:01.451,59.940,3840,2160,1,4
88,1468.133,00:00:01.468,59.940,3840,2160,1,3
89,1484.817,00:00:01.485,59.940,3840,2160,1,3
90,1501.500,00:00:01.502,59.940,3840,2160,1,3
91,1518.183,00:00:01.518,59.940,3840,2160,1,2
92,1534.867,00:00:01.535,59.940,3840,2160,1,2
93,1551.550,00:00:01.552,59.940,3840,2160,1,2
94,1568.233,00:00:01.568,59.940,3840,2160,1,3
95,1584.917,00:00:01.585,59.940,3840,2160,1,3
96,1601.600,00:00:01.602,59.940,3840,2160,1,3
97,1618.283,00:00:01.618,59.940,3840,2160,1,3
98,1634.967,00:00:01.635,59.940,3840,2160,1,2
99,1651.650,00:00:01.652,59.940,3840,2160,1,2
