epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.475,0.8202,2.90663,1.12601,0.00333,1,0.93714,0.85208,0.39003,2.50109,0.79861,0.00024,0.00024,0.00024
2,33.4853,0.67657,1.65904,1.01288,0.93719,0.91363,0.94272,0.80341,0.5405,2.23502,0.8105,0.00049505,0.00049505,0.00049505
3,39.9146,0.74381,1.35489,1.08952,0.8909,0.50015,0.86677,0.70996,0.65143,2.18823,0.90995,0.000744952,0.000744952,0.000744952
4,46.0273,0.7345,1.29621,1.0346,0.90551,0.58687,0.83426,0.64521,0.69866,2.29871,0.95958,0.000989706,0.000989706,0.000989706
5,52.7563,0.78691,1.29332,1.04871,0.92564,0.25444,0.56331,0.38908,1.02001,2.63481,1.18267,0.00122931,0.00122931,0.00122931
6,57.7036,0.78442,1.21942,1.04936,0.90955,0.53061,0.81828,0.58265,0.88864,2.24644,1.07089,0.00146377,0.00146377,0.00146377
7,61.7575,0.807,1.1591,1.07558,0.88286,0.73469,0.87693,0.65747,0.88963,2.01218,1.05763,0.00169308,0.00169308,0.00169308
8,65.5107,0.73055,1.03279,1.03437,0.63076,0.48813,0.57051,0.36354,1.05844,2.10872,1.23412,0.0018614,0.0018614,0.0018614
9,69.5067,0.81101,1.09623,1.06666,0.70152,0.34694,0.50025,0.3253,1.08042,2.04295,1.23304,0.0018416,0.0018416,0.0018416
10,73.5091,0.74296,0.99806,1.02865,0.85894,0.61224,0.72631,0.50998,0.92403,1.79744,1.22245,0.0018218,0.0018218,0.0018218
11,77.6927,0.70213,0.9601,1.0242,0.90188,0.77551,0.88071,0.72955,0.68285,1.38167,1.03144,0.001802,0.001802,0.001802
12,81.7191,0.67117,0.87543,1.02269,0.85667,0.59184,0.78968,0.55149,1.00229,1.34293,1.24386,0.0017822,0.0017822,0.0017822
13,85.4571,0.71452,0.87114,1.04594,0.7599,0.65306,0.74703,0.59736,0.90147,1.22366,1.10849,0.0017624,0.0017624,0.0017624
14,89.6786,0.72555,0.82358,1.04014,0.94649,0.73469,0.85974,0.69187,0.75412,1.07777,1.01442,0.0017426,0.0017426,0.0017426
15,93.7924,0.68147,0.80161,1.01075,0.83154,0.70529,0.75717,0.64187,0.71004,1.29564,0.99436,0.0017228,0.0017228,0.0017228
16,98.1423,0.66472,0.7588,0.99848,0.79683,0.83673,0.86283,0.74581,0.65455,0.89065,0.98409,0.001703,0.001703,0.001703
17,102.619,0.72729,0.76035,1.04738,0.93955,0.95163,0.96637,0.8399,0.56557,0.70648,0.94127,0.0016832,0.0016832,0.0016832
18,107.582,0.70097,0.70944,1.02002,0.92223,0.97959,0.96237,0.84654,0.51386,0.68613,0.91321,0.0016634,0.0016634,0.0016634
19,112.82,0.68548,0.7103,1.02248,0.94069,0.9712,0.94957,0.83825,0.49998,0.56801,0.9303,0.0016436,0.0016436,0.0016436
20,119.327,0.67316,0.70323,1.01222,0.95046,0.95918,0.96379,0.83816,0.56253,0.54838,0.96434,0.0016238,0.0016238,0.0016238
21,125.187,0.64646,0.64011,0.99156,0.95705,0.95918,0.9496,0.84129,0.50921,0.52338,0.94853,0.001604,0.001604,0.001604
22,130.782,0.60395,0.64532,0.99382,0.93964,0.95322,0.94765,0.86783,0.46219,0.50612,0.92981,0.0015842,0.0015842,0.0015842
23,136.954,0.63722,0.65814,1.00081,0.93981,0.95602,0.95266,0.83133,0.49796,0.49577,0.92637,0.0015644,0.0015644,0.0015644
24,142.944,0.59627,0.59448,0.98983,0.91727,0.95918,0.9577,0.88613,0.43744,0.47541,0.9214,0.0015446,0.0015446,0.0015446
25,149.059,0.59163,0.55908,0.99035,0.959,0.95479,0.93827,0.86092,0.42502,0.45272,0.91257,0.0015248,0.0015248,0.0015248
26,155.422,0.58963,0.55604,0.98693,0.95915,0.95842,0.93369,0.86779,0.42296,0.42706,0.91564,0.001505,0.001505,0.001505
27,161.204,0.59076,0.5898,0.98774,0.95747,0.95918,0.9511,0.87639,0.41475,0.46955,0.88847,0.0014852,0.0014852,0.0014852
28,167.507,0.60076,0.60983,1.00371,0.93583,0.93878,0.92994,0.85473,0.43748,0.494,0.89573,0.0014654,0.0014654,0.0014654
29,172.354,0.57594,0.55913,0.96179,0.9794,0.97959,0.97376,0.89226,0.42327,0.40729,0.90979,0.0014456,0.0014456,0.0014456
30,176.318,0.6349,0.58848,1.01396,0.92156,0.95901,0.94207,0.89605,0.39355,0.43055,0.89333,0.0014258,0.0014258,0.0014258
31,180.935,0.54452,0.52436,0.95288,0.94102,0.97686,0.96682,0.8874,0.40962,0.42125,0.88928,0.001406,0.001406,0.001406
32,185.197,0.62882,0.55662,1.00836,0.95629,0.93878,0.97019,0.90189,0.43768,0.43621,0.92986,0.0013862,0.0013862,0.0013862
33,189.169,0.58937,0.55002,1.00442,0.93746,0.95918,0.96054,0.90281,0.40468,0.39093,0.92517,0.0013664,0.0013664,0.0013664
34,193.691,0.55239,0.51867,0.97113,0.91893,0.95918,0.96022,0.8943,0.38991,0.41752,0.87065,0.0013466,0.0013466,0.0013466
35,197.503,0.53954,0.5209,0.94797,0.93688,0.95918,0.95989,0.87219,0.41389,0.40742,0.89293,0.0013268,0.0013268,0.0013268
36,201.269,0.53999,0.50066,0.95143,0.95916,0.95867,0.95376,0.88105,0.43176,0.37916,0.93124,0.001307,0.001307,0.001307
37,206.041,0.54461,0.50486,0.96764,0.94577,0.95918,0.95063,0.87754,0.39197,0.40196,0.91922,0.0012872,0.0012872,0.0012872
38,209.758,0.54741,0.49137,0.96459,0.93546,0.95918,0.95799,0.86396,0.41066,0.42865,0.90055,0.0012674,0.0012674,0.0012674
39,213.345,0.51896,0.46546,0.95744,0.9574,0.95918,0.95187,0.88953,0.39789,0.37401,0.91575,0.0012476,0.0012476,0.0012476
40,217.588,0.50045,0.45801,0.96631,0.95784,0.95918,0.95716,0.89369,0.40541,0.35516,0.94172,0.0012278,0.0012278,0.0012278
41,221.327,0.59321,0.49147,1.01587,0.95738,0.95918,0.96186,0.87778,0.39325,0.36061,0.94098,0.001208,0.001208,0.001208
42,225.227,0.50365,0.44705,0.9735,0.95772,0.95918,0.96589,0.88309,0.36716,0.36458,0.91795,0.0011882,0.0011882,0.0011882
43,229.496,0.53509,0.46777,0.95339,0.95598,0.95918,0.95881,0.89933,0.36617,0.35933,0.90466,0.0011684,0.0011684,0.0011684
44,233.211,0.54929,0.47588,0.98465,0.95726,0.95918,0.95318,0.88769,0.39035,0.34167,0.9375,0.0011486,0.0011486,0.0011486
45,237.16,0.523,0.43623,0.9652,0.95782,0.95918,0.96322,0.90775,0.35377,0.32475,0.89908,0.0011288,0.0011288,0.0011288
46,241.239,0.50023,0.47533,0.94196,0.95864,0.97959,0.96915,0.92695,0.37767,0.32538,0.91376,0.001109,0.001109,0.001109
47,246.016,0.47731,0.45045,0.9278,0.97954,0.9771,0.97268,0.90843,0.39009,0.3686,0.9182,0.0010892,0.0010892,0.0010892
48,251.296,0.48363,0.43053,0.93221,0.95603,0.95918,0.94807,0.90108,0.32913,0.35405,0.90034,0.0010694,0.0010694,0.0010694
49,255.129,0.43304,0.4081,0.89691,0.95743,0.95918,0.96789,0.92005,0.32876,0.32705,0.88798,0.0010496,0.0010496,0.0010496
50,259.042,0.51178,0.43003,0.9535,0.95801,0.95918,0.96387,0.89876,0.36786,0.33327,0.91986,0.0010298,0.0010298,0.0010298
51,263.023,0.47369,0.43109,0.94994,0.95914,0.9581,0.96579,0.90403,0.32917,0.31589,0.89403,0.00101,0.00101,0.00101
52,267.199,0.45857,0.39549,0.93845,0.95914,0.95814,0.97699,0.93379,0.31665,0.31167,0.89032,0.0009902,0.0009902,0.0009902
53,271.259,0.45227,0.41239,0.93277,0.9207,0.95918,0.96901,0.91927,0.33194,0.33045,0.90385,0.0009704,0.0009704,0.0009704
54,274.95,0.44494,0.3855,0.92814,0.93995,0.9584,0.96664,0.91823,0.36108,0.33744,0.92355,0.0009506,0.0009506,0.0009506
55,278.869,0.42428,0.38126,0.91709,0.95756,0.95918,0.96066,0.91199,0.33607,0.3283,0.9083,0.0009308,0.0009308,0.0009308
56,283.102,0.44196,0.38603,0.92202,0.95715,0.95918,0.97696,0.91209,0.34535,0.31638,0.89355,0.000911,0.000911,0.000911
57,286.575,0.46522,0.40532,0.93611,0.95773,0.95918,0.9685,0.91472,0.32377,0.30824,0.88693,0.0008912,0.0008912,0.0008912
58,290.081,0.45697,0.42375,0.93833,0.95755,0.95918,0.96017,0.90376,0.347,0.30341,0.89548,0.0008714,0.0008714,0.0008714
59,294.338,0.44986,0.38386,0.93562,0.95638,0.95918,0.95968,0.89838,0.34531,0.31451,0.89098,0.0008516,0.0008516,0.0008516
60,298.953,0.44523,0.39176,0.92447,0.95917,0.95886,0.95476,0.91173,0.34386,0.31554,0.90297,0.0008318,0.0008318,0.0008318
61,303.176,0.41399,0.36715,0.90245,0.95769,0.95918,0.9695,0.91056,0.31778,0.30308,0.86377,0.000812,0.000812,0.000812
62,307.041,0.50529,0.42625,0.97653,0.95673,0.95918,0.97255,0.91197,0.31704,0.31022,0.86271,0.0007922,0.0007922,0.0007922
63,311.093,0.41156,0.36408,0.89694,0.95724,0.95918,0.97003,0.909,0.35194,0.30791,0.88089,0.0007724,0.0007724,0.0007724
64,315.082,0.40289,0.36538,0.89622,0.95723,0.95918,0.96639,0.91186,0.3516,0.31515,0.92124,0.0007526,0.0007526,0.0007526
65,319.019,0.42479,0.36611,0.92347,0.95776,0.95918,0.96571,0.9123,0.34277,0.2924,0.933,0.0007328,0.0007328,0.0007328
66,322.883,0.44083,0.37208,0.9301,0.95802,0.95918,0.9736,0.9246,0.32373,0.28435,0.90033,0.000713,0.000713,0.000713
67,326.857,0.44046,0.37748,0.94203,0.95369,0.95918,0.97357,0.91232,0.31277,0.28059,0.87007,0.0006932,0.0006932,0.0006932
