epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3821,0.84864,3.68084,1.02262,1,0.11119,0.29784,0.24015,0.81409,3.70977,0.87117,0.000362618,0.000362618,0.000362618
2,59.6324,0.91955,2.27521,1.04197,0.81701,0.26556,0.57648,0.443,0.91409,2.89751,0.94813,0.000725695,0.000725695,0.000725695
3,79.8576,0.94632,1.95871,1.04391,0.6328,0.65051,0.70454,0.49712,0.95095,2.2938,0.99554,0.00108144,0.00108144,0.00108144
4,97.6549,0.96624,1.80445,1.05943,0.58202,0.6131,0.63634,0.44512,1.01949,1.73856,1.03692,0.001078,0.001078,0.001078
5,116.51,0.93831,1.57405,1.03918,0.83597,0.59583,0.67917,0.50626,0.92489,1.41529,1.00908,0.001067,0.001067,0.001067
6,132.816,0.89172,1.40311,1.0368,0.85204,0.76419,0.83171,0.63132,0.80843,0.99608,0.92919,0.00105601,0.00105601,0.00105601
7,150.107,0.88613,1.30928,1.01621,0.88006,0.75538,0.83775,0.63829,0.78655,0.91533,0.94147,0.00104501,0.00104501,0.00104501
8,170.623,0.84756,1.21487,1.0254,0.84025,0.7912,0.88174,0.68048,0.77951,0.9041,0.94084,0.00103401,0.00103401,0.00103401
9,189.18,0.83826,1.12932,1.02115,0.83682,0.81529,0.86652,0.66606,0.78192,0.86908,0.93923,0.00102301,0.00102301,0.00102301
10,209.004,0.83334,1.04452,1.00025,0.86676,0.81506,0.85383,0.68214,0.74,0.76917,0.92629,0.00101201,0.00101201,0.00101201
11,228.914,0.78531,0.90819,0.97238,0.87823,0.81853,0.84697,0.66091,0.74757,0.77206,0.91996,0.00100101,0.00100101,0.00100101
12,249.738,0.78758,0.89595,0.97772,0.91306,0.81997,0.88203,0.70982,0.70239,0.71979,0.90493,0.000990012,0.000990012,0.000990012
13,268.876,0.7704,0.86839,0.96684,0.9026,0.80099,0.86646,0.68676,0.72281,0.73767,0.90377,0.000979013,0.000979013,0.000979013
14,288.883,0.74737,0.80839,0.9665,0.91143,0.81156,0.87755,0.70303,0.71275,0.699,0.90623,0.000968014,0.000968014,0.000968014
15,308.473,0.75126,0.78889,0.97136,0.92833,0.86164,0.9218,0.72778,0.69894,0.63105,0.89869,0.000957015,0.000957015,0.000957015
16,328.227,0.7953,0.79887,0.9776,0.90932,0.88941,0.91702,0.7254,0.71054,0.62764,0.90203,0.000946016,0.000946016,0.000946016
17,347.792,0.75182,0.74359,0.96484,0.9422,0.87361,0.91515,0.74113,0.6926,0.60765,0.88541,0.000935018,0.000935018,0.000935018
18,368.295,0.72073,0.69123,0.95615,0.91994,0.86467,0.90817,0.72538,0.71031,0.63721,0.87531,0.000924019,0.000924019,0.000924019
19,391.169,0.73758,0.71663,0.96473,0.93573,0.85267,0.90213,0.73238,0.69642,0.63263,0.88448,0.00091302,0.00091302,0.00091302
20,411.559,0.71183,0.67614,0.94593,0.94372,0.82938,0.90113,0.7215,0.71124,0.61288,0.89293,0.000902021,0.000902021,0.000902021
21,430.917,0.71522,0.64749,0.95544,0.92562,0.82359,0.89721,0.72061,0.70709,0.64165,0.88399,0.000891022,0.000891022,0.000891022
22,451.095,0.71566,0.66165,0.96223,0.90973,0.89289,0.91616,0.75612,0.64309,0.54931,0.86668,0.000880023,0.000880023,0.000880023
23,470.474,0.71747,0.66188,0.96061,0.91966,0.87766,0.90406,0.73967,0.66023,0.57805,0.87684,0.000869024,0.000869024,0.000869024
24,491.218,0.69199,0.63878,0.95115,0.91625,0.87924,0.91674,0.75316,0.63242,0.58318,0.86237,0.000858025,0.000858025,0.000858025
25,510.245,0.69039,0.63217,0.94778,0.96212,0.89326,0.93124,0.76517,0.64248,0.5242,0.87159,0.000847026,0.000847026,0.000847026
26,529.726,0.66967,0.59575,0.94373,0.95843,0.89127,0.93983,0.77133,0.62452,0.52543,0.86774,0.000836027,0.000836027,0.000836027
27,546.839,0.67508,0.59611,0.93229,0.93421,0.85763,0.92531,0.77281,0.59402,0.54073,0.85206,0.000825029,0.000825029,0.000825029
28,566.244,0.69203,0.59038,0.948,0.95375,0.91055,0.93813,0.78014,0.61389,0.50156,0.85334,0.00081403,0.00081403,0.00081403
29,585.441,0.66112,0.57001,0.92591,0.90841,0.92235,0.92153,0.75505,0.62423,0.63998,0.85847,0.000803031,0.000803031,0.000803031
30,603.125,0.64985,0.55939,0.92845,0.96213,0.91073,0.94752,0.79663,0.58734,0.4912,0.85078,0.000792032,0.000792032,0.000792032
31,621.947,0.63552,0.56512,0.9238,0.94121,0.8866,0.92403,0.77474,0.60911,0.50806,0.85106,0.000781033,0.000781033,0.000781033
32,641.419,0.65963,0.55589,0.94123,0.9798,0.91455,0.93968,0.76453,0.63048,0.499,0.85911,0.000770034,0.000770034,0.000770034
33,658.648,0.62616,0.54043,0.92499,0.91129,0.91275,0.92658,0.7676,0.6052,0.51496,0.85216,0.000759035,0.000759035,0.000759035
34,676.08,0.62853,0.54647,0.91977,0.95413,0.89329,0.93238,0.79897,0.57128,0.49199,0.84516,0.000748036,0.000748036,0.000748036
35,695.304,0.62542,0.53721,0.929,0.94734,0.91246,0.9331,0.78673,0.57433,0.48327,0.84547,0.000737037,0.000737037,0.000737037
