epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8798,1.28745,2.92656,1.29706,0.00333,1,0.95855,0.74676,0.63733,2.52798,0.8517,0.00024,0.00024,0.00024
2,39.431,0.85115,1.70228,1.05243,0.00333,1,0.99062,0.80767,0.6772,2.27095,0.89776,0.00049505,0.00049505,0.00049505
3,47.0357,0.85531,1.35715,1.0647,0.96581,0.56505,0.96549,0.76473,0.70386,2.08847,0.88085,0.000744952,0.000744952,0.000744952
4,53.3695,0.81128,1.24317,1.01521,0.95579,0.43263,0.88006,0.67728,0.79372,2.19791,0.93838,0.000989706,0.000989706,0.000989706
5,58.1602,0.87744,1.20869,1.03791,1,0.51405,0.94919,0.75159,0.74172,2.1361,0.93631,0.00122931,0.00122931,0.00122931
6,61.3198,0.78115,1.08915,1.00101,0.95294,0.81004,0.92532,0.70007,0.90246,1.89105,1.00466,0.00146377,0.00146377,0.00146377
7,64.166,0.88274,1.05961,1.05659,0.93453,0.98,0.99158,0.8228,0.74662,1.35055,0.92577,0.00169308,0.00169308,0.00169308
8,67.2774,0.83335,1.00832,1.01872,0.99607,0.94,0.9923,0.80315,0.77226,1.14902,0.9675,0.0018614,0.0018614,0.0018614
9,70.3986,0.82288,1.0067,1.05707,0.94782,1,0.99107,0.79746,0.73483,0.98249,0.95427,0.0018416,0.0018416,0.0018416
10,74.0019,0.75139,0.93125,0.99031,0.77576,0.82,0.82017,0.6133,0.89346,1.67053,1.01094,0.0018218,0.0018218,0.0018218
11,76.634,0.7709,0.87749,1.00719,0.90476,0.92,0.98092,0.71751,0.92587,1.73657,0.99229,0.001802,0.001802,0.001802
12,80.0343,0.78488,0.82509,1.01152,0.95431,0.83552,0.94007,0.77192,0.70874,0.99255,0.90702,0.0017822,0.0017822,0.0017822
13,82.8575,0.79483,0.80141,0.99189,0.96718,1,0.99304,0.7958,0.75254,0.82216,0.922,0.0017624,0.0017624,0.0017624
14,86.2103,0.79326,0.7835,1.01404,0.85194,0.78,0.8667,0.65278,0.7944,1.19156,0.94413,0.0017426,0.0017426,0.0017426
15,89.6866,0.74426,0.74727,0.99115,0.87263,0.9,0.93643,0.77686,0.67216,1.06191,0.91604,0.0017228,0.0017228,0.0017228
16,93.3181,0.77818,0.73932,0.99633,0.96939,0.98,0.99343,0.78732,0.76497,0.70983,0.94376,0.001703,0.001703,0.001703
17,96.4825,0.73674,0.67687,0.98406,0.97717,1,0.99461,0.83114,0.64318,0.54376,0.89845,0.0016832,0.0016832,0.0016832
18,99.4559,0.75314,0.65727,0.98852,0.95625,0.87428,0.95989,0.75087,0.79057,0.74465,0.94975,0.0016634,0.0016634,0.0016634
19,102.45,0.72514,0.64924,0.99246,0.99247,1,0.995,0.838,0.58833,0.54228,0.88381,0.0016436,0.0016436,0.0016436
20,105.831,0.69376,0.61894,0.9661,0.94103,1,0.99186,0.83462,0.66446,0.53422,0.9303,0.0016238,0.0016238,0.0016238
21,108.872,0.70757,0.62506,0.98256,0.97749,1,0.99304,0.85563,0.60371,0.46263,0.87046,0.001604,0.001604,0.001604
22,112.167,0.69008,0.60181,0.95671,0.97666,1,0.99186,0.84319,0.60562,0.47803,0.88827,0.0015842,0.0015842,0.0015842
23,115.185,0.7127,0.58834,0.97314,0.99823,1,0.995,0.84023,0.6172,0.45352,0.89366,0.0015644,0.0015644,0.0015644
24,118.667,0.66768,0.56948,0.98065,0.9788,1,0.99422,0.84882,0.61267,0.43927,0.88145,0.0015446,0.0015446,0.0015446
25,121.45,0.68753,0.55365,0.95309,0.98251,1,0.995,0.84267,0.59955,0.52118,0.89617,0.0015248,0.0015248,0.0015248
26,124.749,0.71643,0.5801,0.9739,0.9341,0.98,0.9688,0.80073,0.65743,0.59795,0.94188,0.001505,0.001505,0.001505
27,127.802,0.65844,0.55297,0.9405,0.96398,0.96,0.98116,0.81947,0.61263,0.60519,0.9113,0.0014852,0.0014852,0.0014852
28,130.587,0.69778,0.55627,0.97655,0.97288,1,0.99382,0.83851,0.62539,0.52042,0.90746,0.0014654,0.0014654,0.0014654
29,133.641,0.63434,0.52333,0.94219,0.97923,1,0.99422,0.85461,0.60287,0.45698,0.88744,0.0014456,0.0014456,0.0014456
